chr,start,end,Unnamed: 0,AA_x,AT_x,AG_x,AC_x,TA_x,TT_x,TG_x,TC_x,GA_x,GT_x,GG_x,GC_x,CA_x,CT_x,CG_x,CC_x,AA_y,AT_y,AG_y,AC_y,TA_y,TT_y,TG_y,TC_y,GA_y,GT_y,GG_y,GC_y,CA_y,CT_y,CG_y,CC_y
1,908919,910503,16.0,2.0,52.0,50.0,41.0,46.0,41.0,119.0,71.0,34.0,117.0,345.0,183.0,63.0,67.0,166.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,919385,919593,17.0,5.0,2.0,15.0,16.0,2.0,2.0,16.0,10.0,9.0,13.0,18.0,24.0,22.0,13.0,16.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0
1,923590,926252,18.0,46.0,28.0,152.0,97.0,23.0,52.0,128.0,135.0,145.0,95.0,405.0,378.0,109.0,163.0,339.0,366.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0
1,933952,934964,19.0,0.0,0.0,82.0,37.0,36.0,36.0,66.0,9.0,31.0,72.0,314.0,136.0,52.0,39.0,92.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,935577,935956,20.0,3.0,8.0,30.0,22.0,3.0,10.0,26.0,22.0,18.0,20.0,45.0,44.0,39.0,23.0,27.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
1,936259,936492,21.0,5.0,2.0,13.0,4.0,5.0,2.0,5.0,24.0,14.0,12.0,55.0,11.0,0.0,20.0,20.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,940225,942983,22.0,47.0,37.0,181.0,95.0,30.0,56.0,159.0,126.0,158.0,95.0,415.0,368.0,125.0,183.0,282.0,400.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0
1,950976,951222,23.0,7.0,5.0,30.0,17.0,2.0,1.0,9.0,12.0,21.0,8.0,24.0,27.0,29.0,10.0,18.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1,958933,967274,24.0,164.0,142.0,560.0,361.0,106.0,209.0,596.0,449.0,467.0,438.0,1161.0,906.0,490.0,571.0,656.0,1064.0,3.0,2.0,6.0,2.0,1.0,3.0,4.0,8.0,4.0,3.0,8.0,4.0,4.0,4.0,7.0,7.0
1,970916,971158,25.0,4.0,1.0,11.0,19.0,2.0,4.0,11.0,15.0,14.0,5.0,29.0,25.0,15.0,22.0,23.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,976046,979425,26.0,154.0,43.0,130.0,236.0,22.0,32.0,150.0,184.0,166.0,80.0,340.0,281.0,221.0,233.0,248.0,858.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0
1,998007,1002030,27.0,103.0,49.0,246.0,153.0,29.0,92.0,195.0,227.0,224.0,159.0,635.0,506.0,195.0,243.0,449.0,517.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1,1013290,1013514,28.0,11.0,5.0,11.0,7.0,3.0,18.0,16.0,15.0,9.0,11.0,21.0,25.0,11.0,18.0,19.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1013949,1014471,29.0,17.0,10.0,43.0,27.0,4.0,6.0,49.0,22.0,39.0,28.0,59.0,59.0,37.0,37.0,35.0,49.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0
1,1019388,1020963,30.0,24.0,10.0,83.0,38.0,5.0,21.0,62.0,76.0,80.0,51.0,301.0,217.0,46.0,82.0,204.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1028415,1029127,31.0,34.0,3.0,52.0,51.0,0.0,15.0,18.0,29.0,32.0,16.0,60.0,75.0,74.0,28.0,54.0,170.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,1032586,1034858,32.0,24.0,32.0,126.0,97.0,11.0,45.0,121.0,127.0,109.0,69.0,297.0,288.0,135.0,158.0,220.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,1040116,1044925,33.0,68.0,72.0,304.0,161.0,33.0,88.0,479.0,259.0,253.0,348.0,696.0,560.0,251.0,351.0,379.0,506.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,2.0,2.0,3.0,6.0,2.0,6.0,3.0,2.0,4.0
1,1045688,1046020,34.0,6.0,8.0,20.0,11.0,2.0,9.0,39.0,13.0,20.0,28.0,39.0,36.0,17.0,18.0,26.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,1046772,1047131,35.0,7.0,4.0,26.0,14.0,4.0,6.0,29.0,21.0,22.0,17.0,47.0,41.0,18.0,33.0,26.0,43.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
1,1054894,1055314,36.0,7.0,10.0,26.0,20.0,6.0,21.0,38.0,16.0,24.0,19.0,39.0,49.0,26.0,31.0,29.0,58.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
1,1056298,1056699,37.0,0.0,8.0,3.0,10.0,9.0,1.0,92.0,14.0,2.0,84.0,56.0,43.0,10.0,23.0,35.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,0.0,4.0,1.0
1,1059056,1059923,38.0,24.0,5.0,71.0,31.0,3.0,9.0,41.0,28.0,69.0,30.0,152.0,114.0,35.0,37.0,102.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1067283,1069938,39.0,45.0,43.0,150.0,131.0,26.0,50.0,180.0,143.0,112.0,129.0,322.0,323.0,186.0,177.0,235.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0
1,1071836,1072253,40.0,7.0,5.0,33.0,16.0,1.0,4.0,23.0,15.0,9.0,15.0,75.0,72.0,44.0,19.0,41.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1076129,1078022,41.0,0.0,22.0,124.0,104.0,63.0,4.0,158.0,74.0,183.0,82.0,549.0,138.0,4.0,191.0,122.0,74.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,3.0,4.0,0.0
1,1080679,1080980,42.0,0.0,0.0,0.0,10.0,0.0,9.0,9.0,55.0,0.0,18.0,9.0,10.0,10.0,46.0,20.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
1,1081483,1082059,43.0,16.0,11.0,38.0,39.0,6.0,11.0,36.0,24.0,32.0,25.0,76.0,57.0,50.0,30.0,41.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0
1,1082719,1083010,44.0,6.0,4.0,17.0,11.0,3.0,7.0,19.0,18.0,16.0,18.0,42.0,31.0,13.0,18.0,30.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1,1084438,1084646,45.0,3.0,2.0,27.0,6.0,2.0,3.0,11.0,10.0,16.0,8.0,24.0,28.0,17.0,13.0,15.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1088695,1089234,46.0,13.0,6.0,33.0,42.0,3.0,7.0,35.0,31.0,36.0,21.0,62.0,54.0,42.0,42.0,44.0,67.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1,1090997,1091245,47.0,3.0,6.0,18.0,12.0,3.0,1.0,16.0,13.0,14.0,13.0,33.0,26.0,19.0,13.0,20.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
1,1092129,1092350,48.0,1.0,2.0,10.0,8.0,3.0,3.0,19.0,15.0,9.0,16.0,36.0,21.0,8.0,19.0,18.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0
1,1110664,1110960,49.0,24.0,3.0,23.0,29.0,3.0,4.0,13.0,16.0,15.0,12.0,15.0,33.0,37.0,17.0,25.0,26.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0
1,1157831,1158096,50.0,5.0,3.0,21.0,7.0,1.0,2.0,11.0,11.0,17.0,10.0,52.0,29.0,13.0,10.0,25.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,1162663,1165204,51.0,85.0,50.0,169.0,113.0,34.0,131.0,177.0,131.0,145.0,133.0,351.0,250.0,153.0,159.0,183.0,276.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,2.0,0.0,2.0,0.0,10.0,0.0
1,1173934,1174765,52.0,23.0,17.0,58.0,43.0,17.0,40.0,47.0,60.0,45.0,48.0,106.0,70.0,56.0,59.0,59.0,82.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,4.0
1,1206290,1206770,53.0,14.0,6.0,32.0,25.0,6.0,11.0,24.0,19.0,23.0,29.0,58.0,58.0,34.0,14.0,55.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0
1,1210188,1210498,54.0,5.0,5.0,20.0,18.0,2.0,7.0,25.0,18.0,22.0,12.0,35.0,35.0,19.0,28.0,25.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
1,1213675,1214144,55.0,1.0,3.0,34.0,22.0,2.0,8.0,32.0,25.0,17.0,25.0,43.0,61.0,40.0,31.0,38.0,86.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1,1217142,1217754,56.0,11.0,9.0,42.0,22.0,4.0,17.0,30.0,39.0,33.0,34.0,84.0,82.0,36.0,30.0,78.0,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0
1,1218404,1219039,57.0,14.0,11.0,43.0,37.0,2.0,17.0,42.0,52.0,39.0,34.0,67.0,55.0,50.0,51.0,44.0,76.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
1,1222937,1223222,58.0,3.0,7.0,10.0,74.0,11.0,0.0,8.0,8.0,9.0,11.0,6.0,26.0,71.0,9.0,29.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,1226579,1226901,59.0,16.0,2.0,29.0,22.0,4.0,8.0,13.0,15.0,24.0,11.0,32.0,30.0,25.0,19.0,24.0,47.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1231621,1233605,60.0,26.0,18.0,92.0,88.0,20.0,33.0,121.0,87.0,96.0,77.0,245.0,328.0,82.0,133.0,289.0,248.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
1,1242505,1242827,61.0,8.0,3.0,28.0,20.0,3.0,1.0,18.0,13.0,19.0,13.0,25.0,39.0,29.0,18.0,26.0,58.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1246376,1247090,62.0,7.0,6.0,45.0,27.0,2.0,4.0,27.0,42.0,42.0,17.0,96.0,102.0,34.0,48.0,90.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1254016,1254865,63.0,35.0,16.0,67.0,50.0,11.0,24.0,43.0,36.0,58.0,27.0,94.0,92.0,64.0,47.0,68.0,116.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1255142,1255419,64.0,11.0,4.0,14.0,14.0,3.0,8.0,24.0,17.0,12.0,19.0,25.0,31.0,17.0,21.0,25.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1258981,1259378,65.0,0.0,31.0,13.0,19.0,4.0,2.0,85.0,14.0,14.0,68.0,15.0,43.0,45.0,4.0,28.0,11.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1,1267786,1268084,66.0,10.0,6.0,26.0,13.0,8.0,9.0,17.0,20.0,15.0,13.0,27.0,37.0,22.0,26.0,23.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
1,1286017,1294783,67.0,148.0,101.0,510.0,341.0,69.0,112.0,695.0,762.0,356.0,642.0,915.0,829.0,527.0,783.0,623.0,1352.0,0.0,1.0,3.0,5.0,1.0,0.0,14.0,32.0,3.0,20.0,12.0,9.0,7.0,14.0,25.0,25.0
1,1296481,1298279,68.0,8.0,37.0,97.0,131.0,11.0,18.0,167.0,73.0,38.0,136.0,244.0,217.0,216.0,78.0,128.0,198.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
1,1307020,1309805,69.0,66.0,35.0,149.0,146.0,24.0,58.0,139.0,143.0,136.0,118.0,346.0,376.0,170.0,153.0,343.0,382.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1312606,1313113,70.0,3.0,14.0,32.0,25.0,7.0,13.0,43.0,29.0,27.0,20.0,41.0,63.0,37.0,45.0,36.0,71.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
1,1318942,1319168,71.0,4.0,5.0,10.0,12.0,2.0,3.0,17.0,19.0,8.0,12.0,21.0,24.0,17.0,21.0,18.0,32.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1324263,1325255,72.0,21.0,10.0,55.0,49.0,7.0,6.0,37.0,58.0,51.0,31.0,146.0,132.0,56.0,61.0,123.0,148.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1327285,1328040,73.0,13.0,9.0,52.0,42.0,11.0,9.0,56.0,38.0,42.0,30.0,71.0,101.0,50.0,66.0,66.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0
1,1331705,1331906,74.0,3.0,7.0,10.0,11.0,5.0,3.0,18.0,12.0,7.0,10.0,15.0,26.0,16.0,18.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1332055,1333606,75.0,30.0,20.0,117.0,83.0,13.0,25.0,133.0,71.0,85.0,89.0,174.0,191.0,122.0,108.0,116.0,173.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0
1,1336045,1336694,76.0,11.0,11.0,40.0,34.0,4.0,9.0,44.0,29.0,32.0,26.0,98.0,76.0,49.0,40.0,51.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,1336997,1337254,77.0,6.0,1.0,17.0,17.0,7.0,7.0,13.0,16.0,9.0,12.0,30.0,28.0,19.0,23.0,20.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,1338106,1340460,78.0,46.0,59.0,180.0,130.0,30.0,50.0,170.0,115.0,131.0,120.0,240.0,252.0,208.0,136.0,154.0,332.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0
1,1341237,1341468,79.0,13.0,13.0,7.0,44.0,5.0,5.0,17.0,6.0,7.0,11.0,4.0,22.0,52.0,4.0,17.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1348553,1351571,80.0,24.0,24.0,258.0,128.0,13.0,21.0,136.0,69.0,304.0,87.0,776.0,350.0,93.0,107.0,348.0,279.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
1,1373760,1375659,81.0,64.0,38.0,124.0,89.0,27.0,74.0,86.0,130.0,100.0,79.0,204.0,197.0,124.0,126.0,167.0,269.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0
1,1387264,1387544,82.0,5.0,8.0,14.0,11.0,8.0,18.0,20.0,27.0,20.0,15.0,27.0,23.0,5.0,32.0,25.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1398691,1400222,83.0,47.0,32.0,85.0,75.0,21.0,40.0,83.0,98.0,88.0,75.0,189.0,171.0,83.0,95.0,167.0,181.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,2.0,2.0,2.0
1,1426180,1426407,84.0,0.0,2.0,7.0,9.0,1.0,2.0,24.0,11.0,7.0,10.0,23.0,33.0,10.0,24.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1439081,1440204,85.0,15.0,13.0,69.0,48.0,10.0,12.0,64.0,43.0,59.0,41.0,143.0,165.0,61.0,63.0,133.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
1,1454175,1454509,86.0,4.0,6.0,22.0,11.0,5.0,5.0,30.0,21.0,17.0,22.0,55.0,39.0,17.0,28.0,27.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1,1460705,1460958,87.0,8.0,11.0,19.0,8.0,5.0,9.0,15.0,15.0,14.0,12.0,19.0,26.0,19.0,12.0,19.0,41.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
1,1471464,1472441,88.0,20.0,9.0,48.0,34.0,10.0,31.0,53.0,51.0,42.0,54.0,143.0,140.0,39.0,51.0,136.0,115.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0
1,1478654,1479152,89.0,14.0,5.0,54.0,18.0,6.0,7.0,31.0,23.0,43.0,20.0,52.0,61.0,28.0,35.0,40.0,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0
1,1481905,1482373,90.0,5.0,12.0,31.0,12.0,1.0,4.0,54.0,22.0,28.0,43.0,65.0,55.0,26.0,22.0,42.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0
1,1484846,1485304,91.0,5.0,7.0,29.0,19.0,5.0,11.0,37.0,31.0,21.0,26.0,61.0,52.0,29.0,40.0,34.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0
1,1509208,1509469,92.0,8.0,11.0,17.0,17.0,5.0,4.0,17.0,10.0,21.0,7.0,28.0,24.0,19.0,14.0,19.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1511498,1512825,93.0,29.0,14.0,71.0,45.0,12.0,33.0,72.0,70.0,65.0,59.0,199.0,194.0,53.0,81.0,176.0,153.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0
1,1517321,1517819,94.0,14.0,5.0,54.0,18.0,6.0,7.0,31.0,23.0,43.0,20.0,52.0,61.0,28.0,35.0,40.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0
1,1519922,1520512,95.0,7.0,14.0,38.0,15.0,2.0,7.0,64.0,35.0,30.0,45.0,74.0,74.0,35.0,42.0,48.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0
1,1521449,1521694,96.0,2.0,5.0,11.0,14.0,2.0,5.0,36.0,7.0,11.0,26.0,20.0,27.0,17.0,14.0,18.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,1522574,1523649,97.0,24.0,17.0,61.0,34.0,17.0,35.0,97.0,69.0,43.0,75.0,147.0,116.0,52.0,91.0,77.0,119.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0
1,1529128,1529426,98.0,3.0,3.0,19.0,12.0,1.0,8.0,28.0,21.0,16.0,21.0,35.0,32.0,17.0,26.0,23.0,32.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0
1,1535224,1536210,99.0,15.0,12.0,70.0,46.0,11.0,15.0,55.0,59.0,37.0,58.0,153.0,112.0,80.0,55.0,83.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1537727,1537962,100.0,5.0,10.0,7.0,22.0,6.0,12.0,21.0,11.0,11.0,16.0,18.0,21.0,22.0,12.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0
